manufacturer_slug,name,year_released,year_discontinued,category,target_use,is_current,cell_count,line_material,riser_config,manufacturer_url,description,size_label,flat_area_m2,flat_span_m,flat_aspect_ratio,proj_area_m2,proj_span_m,proj_aspect_ratio,wing_weight_kg,ptv_min_kg,ptv_max_kg,speed_trim_kmh,speed_max_kmh,glide_ratio_best,min_sink_ms,cert_standard,cert_classification,cert_test_lab,cert_test_date,cert_report_url
advance,ALPHA,2024,,paraglider,school,true,38,polyester/aramid sheathed,"3-liner (split-A, ECS)",https://www.advance.swiss/en/products/paragliders/alpha-series/alpha,"Entry-level paraglider. Air Scoop, 38 cells, extended weight ranges. EN/LTF A.",22,21.57,10.26,4.8,18.63,8.25,3.7,4.25,50,80,,,,,EN,A,,,
advance,ALPHA,2024,,paraglider,school,true,38,polyester/aramid sheathed,"3-liner (split-A, ECS)",https://www.advance.swiss/en/products/paragliders/alpha-series/alpha,"Entry-level paraglider. Air Scoop, 38 cells, extended weight ranges. EN/LTF A.",24,23.66,10.75,4.8,20.44,8.64,3.7,4.55,60,95,,,,,EN,A,,,
advance,ALPHA,2024,,paraglider,school,true,38,polyester/aramid sheathed,"3-liner (split-A, ECS)",https://www.advance.swiss/en/products/paragliders/alpha-series/alpha,"Entry-level paraglider. Air Scoop, 38 cells, extended weight ranges. EN/LTF A.",26,25.86,11.23,4.8,22.13,8.93,3.7,4.85,70,110,,,,,EN,A,,,
advance,ALPHA,2024,,paraglider,school,true,38,polyester/aramid sheathed,"3-liner (split-A, ECS)",https://www.advance.swiss/en/products/paragliders/alpha-series/alpha,"Entry-level paraglider. Air Scoop, 38 cells, extended weight ranges. EN/LTF A.",28,28.36,11.76,4.8,24.26,9.35,3.7,5.25,85,125,,,,,EN,A,,,
advance,ALPHA,2024,,paraglider,school,true,38,polyester/aramid sheathed,"3-liner (split-A, ECS)",https://www.advance.swiss/en/products/paragliders/alpha-series/alpha,"Entry-level paraglider. Air Scoop, 38 cells, extended weight ranges. EN/LTF A.",31,31.85,12.47,4.8,27.25,9.91,3.7,5.75,100,145,,,,,EN,A,,,
advance,ALPHA DLS,2024,,paraglider,school,true,38,aramid ProDry unsheathed (gallery),"3-liner (split-A, ECS)",https://www.advance.swiss/en/products/paragliders/alpha-series/alpha-dls,"Entry-level light paraglider. DLS construction, up to 800 g lighter than Classic. EN/LTF A.",22,21.57,10.26,4.8,18.63,8.25,3.7,3.6,50,80,,,,,EN,A,,,
advance,ALPHA DLS,2024,,paraglider,school,true,38,aramid ProDry unsheathed (gallery),"3-liner (split-A, ECS)",https://www.advance.swiss/en/products/paragliders/alpha-series/alpha-dls,"Entry-level light paraglider. DLS construction, up to 800 g lighter than Classic. EN/LTF A.",24,23.66,10.75,4.8,20.44,8.64,3.7,3.85,60,95,,,,,EN,A,,,
advance,ALPHA DLS,2024,,paraglider,school,true,38,aramid ProDry unsheathed (gallery),"3-liner (split-A, ECS)",https://www.advance.swiss/en/products/paragliders/alpha-series/alpha-dls,"Entry-level light paraglider. DLS construction, up to 800 g lighter than Classic. EN/LTF A.",26,25.86,11.23,4.8,22.13,8.93,3.7,4.15,70,110,,,,,EN,A,,,
advance,ALPHA DLS,2024,,paraglider,school,true,38,aramid ProDry unsheathed (gallery),"3-liner (split-A, ECS)",https://www.advance.swiss/en/products/paragliders/alpha-series/alpha-dls,"Entry-level light paraglider. DLS construction, up to 800 g lighter than Classic. EN/LTF A.",28,28.36,11.76,4.8,24.26,9.35,3.7,4.5,85,125,,,,,EN,A,,,
advance,ALPHA DLS,2024,,paraglider,school,true,38,aramid ProDry unsheathed (gallery),"3-liner (split-A, ECS)",https://www.advance.swiss/en/products/paragliders/alpha-series/alpha-dls,"Entry-level light paraglider. DLS construction, up to 800 g lighter than Classic. EN/LTF A.",31,31.85,12.47,4.8,27.25,9.91,3.7,4.95,100,145,,,,,EN,A,,,
