manufacturer_slug,name,year_released,year_discontinued,category,target_use,is_current,cell_count,line_material,riser_config,manufacturer_url,description,size_label,flat_area_m2,flat_span_m,flat_aspect_ratio,proj_area_m2,proj_span_m,proj_aspect_ratio,wing_weight_kg,ptv_min_kg,ptv_max_kg,speed_trim_kmh,speed_max_kmh,glide_ratio_best,min_sink_ms,cert_standard,cert_classification,cert_test_lab,cert_test_date,cert_report_url
ozone,Moxie,2021,,paraglider,school,true,38,Porcher Skytex 38/27 classic,"3-liner (split-A, winglets)",https://flyozone.com/paragliders/products/gliders/moxie,EN-A school glider with Sharknose and winglets. 6 sizes XXS–LG.,XXS,20.4,9.9,4.81,17.24,7.62,3.37,4.16,45,65,,,,,EN,A,,,
ozone,Moxie,2021,,paraglider,school,true,38,Porcher Skytex 38/27 classic,"3-liner (split-A, winglets)",https://flyozone.com/paragliders/products/gliders/moxie,EN-A school glider with Sharknose and winglets. 6 sizes XXS–LG.,XS,21.85,10.23,4.81,18.52,7.94,3.37,4.48,55,75,,,,,EN,A,,,
ozone,Moxie,2021,,paraglider,school,true,38,Porcher Skytex 38/27 classic,"3-liner (split-A, winglets)",https://flyozone.com/paragliders/products/gliders/moxie,EN-A school glider with Sharknose and winglets. 6 sizes XXS–LG.,SM,23.43,10.6,4.81,19.87,8.23,3.37,4.72,65,85,,,,,EN,A,,,
ozone,Moxie,2021,,paraglider,school,true,38,Porcher Skytex 38/27 classic,"3-liner (split-A, winglets)",https://flyozone.com/paragliders/products/gliders/moxie,EN-A school glider with Sharknose and winglets. 6 sizes XXS–LG.,MS,25.08,10.96,4.81,21.28,8.52,3.37,5.05,75,95,,,,,EN,A,,,
ozone,Moxie,2021,,paraglider,school,true,38,Porcher Skytex 38/27 classic,"3-liner (split-A, winglets)",https://flyozone.com/paragliders/products/gliders/moxie,EN-A school glider with Sharknose and winglets. 6 sizes XXS–LG.,ML,27.0,11.38,4.81,22.9,8.84,3.42,5.41,85,105,,,,,EN,A,,,
ozone,Moxie,2021,,paraglider,school,true,38,Porcher Skytex 38/27 classic,"3-liner (split-A, winglets)",https://flyozone.com/paragliders/products/gliders/moxie,EN-A school glider with Sharknose and winglets. 6 sizes XXS–LG.,LG,29.6,11.92,4.81,25.1,9.27,3.42,5.94,95,115,,,,,EN,A,,,
ozone,Alta GT,2025,,paraglider,school,true,50,Dominico N20D (semi-light GT),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/alta-gt,"School/advanced-beginner EN-A GT construction. 50 cells, AR ~5.1. 5 sizes.",XXS,21.5,10.47,5.1,18.1,8.24,3.75,4.5,50,70,,,,,EN,A,,,
ozone,Alta GT,2025,,paraglider,school,true,50,Dominico N20D (semi-light GT),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/alta-gt,"School/advanced-beginner EN-A GT construction. 50 cells, AR ~5.1. 5 sizes.",XS,23.2,10.88,5.1,19.5,8.55,3.75,4.75,60,80,,,,,EN,A,,,
ozone,Alta GT,2025,,paraglider,school,true,50,Dominico N20D (semi-light GT),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/alta-gt,"School/advanced-beginner EN-A GT construction. 50 cells, AR ~5.1. 5 sizes.",SM,25.0,11.29,5.1,21.0,8.87,3.75,5.0,70,90,,,,,EN,A,,,
ozone,Alta GT,2025,,paraglider,school,true,50,Dominico N20D (semi-light GT),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/alta-gt,"School/advanced-beginner EN-A GT construction. 50 cells, AR ~5.1. 5 sizes.",MS,27.0,11.73,5.1,22.7,9.23,3.75,5.3,80,100,,,,,EN,A,,,
ozone,Alta GT,2025,,paraglider,school,true,50,Dominico N20D (semi-light GT),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/alta-gt,"School/advanced-beginner EN-A GT construction. 50 cells, AR ~5.1. 5 sizes.",ML,29.1,12.18,5.1,24.5,9.59,3.75,5.6,90,110,,,,,EN,A,,,
ozone,Buzz Z7,2023,,paraglider,school,true,47,Dominico 30D / Porcher 9017,3-liner (split-A),https://flyozone.com/paragliders/products/gliders/buzz-z7,Standard-weight EN-B beginner/intermediate. 5 sizes XS–L.,XS,22.2,10.69,5.14,18.7,8.23,3.62,4.9,55,75,,,,,EN,B,,,
ozone,Buzz Z7,2023,,paraglider,school,true,47,Dominico 30D / Porcher 9017,3-liner (split-A),https://flyozone.com/paragliders/products/gliders/buzz-z7,Standard-weight EN-B beginner/intermediate. 5 sizes XS–L.,S,24.1,11.14,5.14,20.3,8.57,3.62,5.2,65,85,,,,,EN,B,,,
ozone,Buzz Z7,2023,,paraglider,school,true,47,Dominico 30D / Porcher 9017,3-liner (split-A),https://flyozone.com/paragliders/products/gliders/buzz-z7,Standard-weight EN-B beginner/intermediate. 5 sizes XS–L.,MS,25.8,11.52,5.14,21.8,8.87,3.61,5.5,75,95,,,,,EN,B,,,
ozone,Buzz Z7,2023,,paraglider,school,true,47,Dominico 30D / Porcher 9017,3-liner (split-A),https://flyozone.com/paragliders/products/gliders/buzz-z7,Standard-weight EN-B beginner/intermediate. 5 sizes XS–L.,ML,27.3,11.85,5.14,23.0,9.12,3.61,5.8,85,105,,,,,EN,B,,,
ozone,Buzz Z7,2023,,paraglider,school,true,47,Dominico 30D / Porcher 9017,3-liner (split-A),https://flyozone.com/paragliders/products/gliders/buzz-z7,Standard-weight EN-B beginner/intermediate. 5 sizes XS–L.,L,29.0,12.22,5.14,24.5,9.4,3.61,6.1,95,115,,,,,EN,B,,,
ozone,Geo 7,2023,,paraglider,school,true,48,Dominico N20D / N10D (lightweight),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/geo-7,"Lightweight EN-B. 48 cells, ~1.4 kg lighter than Buzz Z7. 5 sizes XS–L.",XS,22.1,10.67,5.14,18.6,8.2,3.62,3.19,55,75,,,,,EN,B,,,
ozone,Geo 7,2023,,paraglider,school,true,48,Dominico N20D / N10D (lightweight),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/geo-7,"Lightweight EN-B. 48 cells, ~1.4 kg lighter than Buzz Z7. 5 sizes XS–L.",S,24.0,11.12,5.14,20.2,8.54,3.61,3.4,65,85,,,,,EN,B,,,
ozone,Geo 7,2023,,paraglider,school,true,48,Dominico N20D / N10D (lightweight),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/geo-7,"Lightweight EN-B. 48 cells, ~1.4 kg lighter than Buzz Z7. 5 sizes XS–L.",MS,25.7,11.5,5.14,21.6,8.84,3.62,3.63,75,95,,,,,EN,B,,,
ozone,Geo 7,2023,,paraglider,school,true,48,Dominico N20D / N10D (lightweight),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/geo-7,"Lightweight EN-B. 48 cells, ~1.4 kg lighter than Buzz Z7. 5 sizes XS–L.",ML,27.2,11.83,5.14,22.9,9.1,3.61,3.83,85,105,,,,,EN,B,,,
ozone,Geo 7,2023,,paraglider,school,true,48,Dominico N20D / N10D (lightweight),3-liner (split-A),https://flyozone.com/paragliders/products/gliders/geo-7,"Lightweight EN-B. 48 cells, ~1.4 kg lighter than Buzz Z7. 5 sizes XS–L.",L,29.0,12.22,5.14,24.4,9.38,3.61,3.96,95,115,,,,,EN,B,,,
ozone,Vibe GT,2025,,paraglider,intermediate,true,55,Dominico N20D (semi-light GT),"3-liner (mini-ribs, winglets)",https://flyozone.com/paragliders/products/gliders/vibe-gt,"Mid-B GT wing. 55 cells, AR 5.45. Double 3D shaping, mini-ribs, winglets. 5 sizes.",XS,21.0,10.7,5.45,17.5,8.18,3.82,3.8,55,72,,,,,EN,B,,,
ozone,Vibe GT,2025,,paraglider,intermediate,true,55,Dominico N20D (semi-light GT),"3-liner (mini-ribs, winglets)",https://flyozone.com/paragliders/products/gliders/vibe-gt,"Mid-B GT wing. 55 cells, AR 5.45. Double 3D shaping, mini-ribs, winglets. 5 sizes.",S,23.0,11.2,5.45,19.2,8.56,3.82,4.05,65,82,,,,,EN,B,,,
ozone,Vibe GT,2025,,paraglider,intermediate,true,55,Dominico N20D (semi-light GT),"3-liner (mini-ribs, winglets)",https://flyozone.com/paragliders/products/gliders/vibe-gt,"Mid-B GT wing. 55 cells, AR 5.45. Double 3D shaping, mini-ribs, winglets. 5 sizes.",MS,25.0,11.67,5.45,20.8,8.91,3.82,4.3,75,93,,,,,EN,B,,,
